,zip_code,avg_price_per_sq_ft,avg_price
0,60608,225.08295983747513,286108.75757575757
1,60614,456.7062065611263,577682.7786885246
2,60615,140.51703423247022,181651.07777777777
3,60617,77.80829476261539,88679.16666666667
4,60618,295.81095906972575,417163.2653061224
5,60619,70.98234382951003,85349.97959183673
6,60620,84.6130127331308,108461.94444444444
7,60622,347.65372571318966,479119.04761904763
8,60625,270.9068623524059,280664.14444444445
9,60628,46.49171573193403,53387.4
10,60629,120.39925734738719,137991.44
11,60630,228.52880138473782,276153.34
12,60631,261.2882163704374,326026.88
13,60632,153.1463046914699,181102.30952380953
14,60633,88.78790202145188,98477.625
15,60634,204.9718471342255,248694.0
16,60638,183.14142126796403,204357.32
17,60639,155.85630730564873,196518.65853658537
18,60641,219.43431594983952,277736.87
19,60642,337.94411467973055,521559.9666666667
20,60643,116.27252133837145,147603.98
21,60645,202.69875120239837,178848.92857142858
22,60646,268.5540122981049,449298.89
23,60647,283.6390571176588,412097.99
24,60652,132.94533756973908,147169.73
25,60653,145.4339242398319,241386.29545454544
26,60655,187.50522716639975,218567.5
27,60656,245.13980030122832,260143.97
28,60657,419.35729905500057,502375.0
29,60659,226.78015945663458,214315.53125
30,60706,228.10596925131583,279368.52
31,60707,177.29565240529269,222895.74
32,60712,229.0882906026779,421487.8
33,60714,219.65440980975342,272548.28
34,60803,119.09485599073065,131743.46
35,60804,113.38080419194235,142006.16666666666
36,60805,134.09301603303044,172816.73
